日期,站号,河名,站名,水位,流量
2023/1/5,60105400,长江,寸滩,161.78,6210
2023/1/5,61602600,梁子湖,梁子镇,17.64,
2023/1/5,60803000,长江,武隆,168.5,258
2023/1/5,61801300,汉江,安康,234.25,78.7
2023/1/5,60107300,长江,宜昌,39.67,6610
2023/1/5,61801700,汉江,白河,178.99,163
2023/1/5,60107400,长江,枝城,38,6730
2023/1/5,61802800,汉江,黄家港,88.37,407
2023/1/5,60108300,长江,沙市,29.56,7010
2023/1/5,61803400,汉江,襄阳,64.69,
2023/1/5,60110500,长江,监利,23.87,6850
2023/1/5,61803500,汉江,宜城,54.55,
2023/1/5,60111200,长江,莲花塘,19.27,
2023/1/5,61804110,汉江,皇庄,39.1,629
2023/1/5,60111300,长江,螺山,18.02,8160
2023/1/5,61804210,汉江,沙洋,35.56,
2023/1/5,60112200,长江,汉口,12.67,8640
2023/1/5,61804400,汉江,岳口,26.43,
2023/1/5,60112900,长江,黄石,9.68,
2023/1/5,61804600,汉江,仙桃,23.12,539
2023/1/5,60113205,长江,码头镇,8.52,
2023/1/5,61804710,汉江,汉川,17.76,
2023/1/5,60113400,长江,九江,7.67,8960
2023/1/5,61802700,汉江,丹江口水库,157.94,205(入)\535(出)
2023/1/5,60106980,长江,三峡水库,158.19,6500(入)\6200(出)
2023/1/5,61002791,清江,水布垭,365.48,66.8(入)\10.5(出)
2023/1/5,61512000,洞庭湖,城陵矶,19.27,1340
2023/1/5,61003101,清江,隔河岩,182.44,1.38(入)\11.6(出)
2023/1/5,62601600,鄱阳湖,湖口,6.69,1050
2023/1/5,60908000,沮漳河,河溶,39.27,10.6
2023/1/5,61102000,湘江,湘潭,30.11,430
2023/1/5,62213000,东荆河,潜江,27.18,0.001
2023/1/5,61202100,资水,桃江,31.67,98
2023/1/5,62206900,汉北河,天门,23.36,0
2023/1/5,61302800,沅水,桃源,29.49,337
2023/1/5,62209400,大富水,应城,22.14,1.87
2023/1/5,61400900,澧水,石门,50.12,22.3
2023/1/5,62205600,环水,花园,32.13,11
2023/1/5,61500300,松滋河,新江口,35.78,146
2023/1/5,62205800,环水,孝感,24.04,
2023/1/5,61501200,松滋河,沙道观,34.16,1.16
2023/1/5,62201400,府河,隔蒲潭,22.14,10.2
2023/1/5,61502200,藕池河,管家铺,28.55,
2023/1/5,62201800,府澴河,卧龙潭,20.72,
2023/1/5,61501800,藕池河,康家岗,31.7,
2023/1/5,61607000,富水,阳新,13.44,
2023/1/5,61501500,虎渡河,弥陀寺,32.24,
2023/1/5,61609400,滠水,黄陂,22.13,
2023/1/5,61014500,长湖,长湖,30.35,
2023/1/5,61610600,倒水,李家集,23.26,
2023/1/5,61018000,洪湖,挖沟咀,24.51,
2023/1/5,61612400,举水,柳子港,23.54,3.45
2023/1/5,62210800,刁汊湖,五房台,23.61,
2023/1/5,61615600,巴水,马家潭,19.53,12
2023/1/5,61714000,斧头湖,三洲,20.93,
2023/1/5,61619600,蕲水,西河驿,19.63,24.8
